points,variety,winery,price
96,Cabernet Sauvignon,Heitz,235.0
96,Tinta de Toro,Bodega Carmen Rodríguez,110.0
96,Sauvignon Blanc,Macauley,90.0
96,Pinot Noir,Ponzi,65.0
95,Provence red blend,Domaine de la Bégude,66.0
95,Tinta de Toro,Numanthia,73.0
95,Tinta de Toro,Maurodos,65.0
95,Tinta de Toro,Bodega Carmen Rodríguez,110.0
95,Pinot Noir,Bergström,65.0
95,Pinot Noir,Blue Farm,60.0
95,Friulano,Borgo del Tiglio,80.0
95,Pinot Noir,Patricia Green Cellars,48.0
95,Pinot Noir,Patricia Green Cellars,48.0
95,Tannat,Vignobles Brumont,90.0
95,Pinot Noir,Domaine Serene,185.0
95,Chardonnay,Bergström,90.0
95,Cabernet Sauvignon,Hall,325.0
95,Tempranillo,Valduero,80.0
95,Malbec,Château Lagrézette,290.0
95,Pinot Noir,Gary Farrell,75.0
95,Rosé,Heitz,24.0
95,Tempranillo Blend,Muga,79.0
95,Tinta de Toro,Numanthia,220.0
95,Chardonnay,Center of Effort,60.0
95,Pinot Noir,Comartin,45.0
94,Chardonnay,Kumeu River,57.0
94,Pinot Noir,Bergström,62.0
94,Pinot Noir,Ponzi,105.0
94,Pinot Noir,Roar,60.0
94,Syrah,Saviah,60.0
90,Mavrud,Villa Melnik,15.0
90,Chardonnay,Zepaltas,37.0
90,Sangiovese,Abbadia Ardenga,
90,Sparkling Blend,Bouvet-Ladubay,22.0
90,Chardonnay,Buty,42.0
90,Sangiovese,Carillon,135.0
90,Rhône-style White Blend,Clos de L'Oratoire des Papes,60.0
90,Sangiovese,Avignonesi,29.0
90,Sangiovese,Casina di Cornia,23.0
90,Red Blend,Castello di Monterinaldi,29.0
90,Mencía,Don Bernardino,17.0
90,Palomino,González Byass,26.0
90,Petite Sirah,Huston,55.0
90,Red Blend,Rignana,39.0
90,Syrah,Tardieu-Laurent,69.0
90,Red Blend,Vignavecchia,30.0
90,Sangiovese,Banfi,90.0
90,Cabernet Sauvignon,Brandlin,60.0
90,Sangiovese,Brunelli Martoccia,50.0
90,Cabernet Sauvignon,Canvasback,40.0
90,Sangiovese,Capanne Ricci,100.0
90,Chardonnay,Chartron et Trébuchet,68.0
90,Sauvignon Blanc,Cherrier Frères,42.0
90,Pinot Noir,Clement et Florian Berthier,28.0
90,Chardonnay,De Loach,18.0
90,Cabernet Sauvignon,DeLille,69.0
90,Sauvignon Blanc,Domaine Vacheron,
90,Riesling,Dr. Konstantin Frank,25.0
90,Cabernet Sauvignon-Syrah,Efeste,30.0
90,Red Blend,Fattoria di Magliano,60.0
91,Malbec,Matias Riccitelli,30.0
91,Pinot Noir,Moorooduc,36.0
91,Malbec,Navarro Correas,25.0
91,Chardonnay,Domaine Chenevières,45.0
91,Portuguese Red,Herdade do Rocim,23.0
91,Syrah,Jason-Stephens,36.0
91,Chardonnay,Louis Max,38.0
91,Cabernet Sauvignon,Michael Mondavi Family Estate,85.0
91,Pinot Noir,Panther Creek,50.0
91,Cabernet Sauvignon,Provenance Vineyards,60.0
91,Cabernet Sauvignon,Raymond,85.0
91,Pinot Noir,Red Car,45.0
91,Nebbiolo,Silvano Bolmida,
91,Pinot Gris,Trinity Vineyards,19.0
91,Portuguese Red,Adega Cooperativa de Borba,15.0
91,Pinot Noir,Archery Summit,54.0
91,Chardonnay,Aubry,85.0
91,Sauvignon Blanc,B Cellars,38.0
91,Cabernet Sauvignon,B Side,28.0
91,Nebbiolo,Bel Colle,75.0
91,Pinot Noir,Bethel Heights,42.0
91,Cabernet Sauvignon,Binyamina,25.0
91,Nebbiolo,Ceste,
91,Nebbiolo,Cascina Cucco,59.0
91,Nebbiolo,Cascina del Monastero,85.0
91,Nebbiolo,Cordero di Montezemolo,80.0
91,Chardonnay,Domaine Gérard Duplessis,45.0
91,Cabernet Sauvignon,Eagle Glen,22.0
91,Pinot Noir,Eleven Eleven,65.0
91,Meritage,Franciscan,50.0
86,Cabernet Sauvignon,Belle Ambiance,10.0
86,Baga,Adega de Cantanhede,12.0
86,Glera,De Stefani,22.0
86,Chardonnay,Parducci,13.0
86,Portuguese Red,Quinta do Portal,10.0
86,Malbec-Merlot,Rigal,14.0
86,Chardonnay,The Naked Grape,18.0
86,Cabernet Sauvignon,Tin Barn,36.0
86,Merlot-Malbec,Georges Vigouroux,15.0
86,Ugni Blanc-Colombard,Georges Vigouroux,10.0
86,Viognier,Hawk Watch Winery,24.0
86,Cabernet Sauvignon,Hestan,50.0
86,Sangiovese,Il Grappolo,45.0
86,Cabernet Sauvignon-Cabernet Franc,Ehret,48.0
86,Moscato,EOS,20.0
86,Pinot Grigio,Martinez & Martinez,17.0
86,Cabernet Franc,Ironstone,12.0
86,Chardonnay,Leaping Horse,10.0
86,White Blend,Kitchen Sink,13.0
86,Chardonnay,Kuleto Estate,45.0
86,Portuguese Red,Wines & Winemakers,12.0
86,Rosé,Zorzal,12.0
86,Cabernet Sauvignon,Charles Krug,125.0
86,Riesling,Millbrook,25.0
86,Sauvignon Blanc,Waterkloof,20.0
86,Malbec,Viñalba,15.0
86,Monastrell,Casa de la Ermita,
86,Rosé,Château Clément Termes,20.0
86,Gamay,Château Coutinel,15.0
86,Portuguese Red,Adega Cooperativa de Borba,7.0
91,Pinot Noir,MacPhail,59.0
91,Pinot Noir,Foursight,49.0
91,Sparkling Blend,Goat Bubbles,42.0
91,Chardonnay,Grgich Hills,93.0
91,Pinot Noir,Navarro,32.0
91,Pinot Noir,Navarro,20.0
90,Zinfandel,Renwood,100.0
90,Cabernet Sauvignon,Trinchero,50.0
90,Tempranillo,Pagos del Rey,22.0
90,White Blend,Biondi,45.0
90,Greco,Cantine di Marzo,18.0
90,Chardonnay,Alexander-Smith,45.0
90,Barbera,Andis,26.0
90,Chardonnay,Benziger,16.0
90,Cabernet Sauvignon,Beaucanon,30.0
90,Grenache,Brecon Estate,42.0
90,Zinfandel,Peachy Canyon,38.0
90,Rhône-style Red Blend,Three,48.0
90,Tempranillo,Valdelacierva,17.0
90,Rosé,Château de Lancyre,18.0
90,Rosé,Château Suau,15.0
90,Sauvignon Blanc,Clif Family,28.0
90,Grenache,Santa Cruz Mountain Vineyard,25.0
90,Chardonnay,Schmidt,26.0
90,Albariño,Stephen Ross,24.0
90,Pinot Noir,Goldeneye,55.0
90,Zinfandel,Grgich Hills,36.0
90,Albariño,Mar de Viñas,17.0
90,Syrah,Kessler-Haak,40.0
90,Malvasia Bianca,Larner,28.0
89,Pinot Noir,Bomb,50.0
89,White Blend,Hatzimichalis,24.0
89,Sparkling Blend,Bohigas,17.0
89,Assyrtiko,Boutari,21.0
89,Malagouzia,Alpha Estate,18.0
89,Carmenère,Viña Bisquertt,20.0
89,Bordeaux-style Red Blend,Chateau Quattre,20.0
89,Sangiovese,Ledger David,24.0
89,Tempranillo,CVNE,44.0
89,Red Blend,Estampa,19.0
89,Bordeaux-style Red Blend,Foxen 7200,42.0
89,Pinot Noir,Irvine Family Vineyards,35.0
89,Tempranillo Blend,Marqués de Cáceres,44.0
89,Syrah,Matchbook,16.0
89,Viognier,Eberle,23.0
89,Pinot Noir,Silvan Ridge,36.0
89,Red Blend,Tenuta degli Dei,25.0
89,Red Blend,Poggio Mandorlo,22.0
89,Touriga Nacional,Quinta das Carvalhas,20.0
89,Chardonnay,Occasio,25.0
89,Pinot Noir,Sanford,42.0
89,Cabernet Sauvignon-Cabernet Franc,Santa Alba,30.0
89,Agiorgitiko,Boutari,17.0
89,Pinot Noir,Foursight,49.0
89,Rhône-style Red Blend,Ogier,16.0
89,Tinta de Toro,Pagos del Rey,30.0
89,Sangiovese,Altesino,40.0
89,Red Blend,Cabreo,57.0
89,Cabernet Sauvignon,Cameron Hughes,29.0
89,Red Blend,Casa Donoso,61.0
88,Chardonnay,Rodney Strong,25.0
88,Syrah,San Simeon,25.0
88,Pinot Noir,Siduri,49.0
88,Picpoul,Syncline,20.0
88,Bordeaux-style Red Blend,Piattelli,26.0
88,Bordeaux-style Red Blend,Pondera,34.0
88,Zinfandel,Tobin James,38.0
88,Zinfandel,Tobin James,38.0
88,Godello,Valdesil,25.0
87,Red Blend,Jaspi,22.0
87,Malbec,Tupun,15.0
87,Bordeaux-style Red Blend,Château Beauregard Lagupeau,20.0
87,Bordeaux-style Red Blend,Château du Taillan,25.0
87,Bordeaux-style Red Blend,Château la Haye,20.0
87,Bordeaux-style Red Blend,Château Lalande Mausse,20.0
87,Bordeaux-style Red Blend,Château Magnol,25.0
87,Chardonnay,Grand Pacific,10.0
87,Malbec,Hamilton,18.0
87,Chardonnay,Heron Hill,18.0
87,Riesling,Heron Hill,14.0
87,Riesling,Fox Run,14.0
87,Cabernet Franc,Glenora,40.0
87,Bordeaux-style Red Blend,Château Roc Taillade,18.0
87,Bordeaux-style Red Blend,Château Sénéjac,20.0
87,Gewürztraminer,Chateau Ste. Michelle,10.0
87,Merlot,Castle Rock,11.0
87,Cabernet Sauvignon,Dussek Family Cellars,36.0
87,Cabernet Franc,Serenity,20.0
87,Grenache,Sol Stone,32.0
87,Sparkling Blend,Sumarroca,18.0
93,Portuguese Red,Poças,55.0
93,Nebbiolo,Rizzi,49.0
93,Zinfandel,Robert Biale,50.0
93,Nebbiolo,Sottimano,58.0
93,Riesling,Domaine Jean-Luc Mader,39.0
93,Riesling,Domaine Zind-Humbrecht,65.0
93,Syrah-Grenache,Bernard Magrez,35.0
93,Nebbiolo,Borgogno,80.0
93,Riesling,Domaine François Schmitt,42.0
93,Riesling,Gustave Lorentz,61.0
93,G-S-M,Force Majeure,58.0
93,Mourvèdre,Anglim,38.0
93,Riesling,Domaine Ostertag,48.0
93,Zinfandel,Robert Biale,50.0
93,Nebbiolo,Sottimano,58.0
93,Bordeaux-style White Blend,Château Raymond-Lafon,120.0
93,Syrah,Red Car,50.0
93,Cabernet Sauvignon,Force Majeure,80.0
93,Syrah,Mulvane Wine Co.,40.0
93,Portuguese Red,Caves Aliança,41.0
93,Cabernet Sauvignon,Double Canyon,48.0
93,Cabernet Sauvignon,Diamond Creek,200.0
93,Petit Verdot,Côtes de Ciel,39.0
93,Cabernet Sauvignon,Sparkman,62.0
93,Nebbiolo,Punset,43.0
92,Riesling,Domaine Ehrhart,35.0
92,Riesling,Domaine Zinck,48.0
92,Riesling,Domaine Zind-Humbrecht,55.0
92,Portuguese Red,Dona Maria-Júlio Bastos,40.0
92,Nebbiolo,Fontanafredda,69.0
88,Bordeaux-style Red Blend,Château Chantemerle,16.0
88,Bordeaux-style White Blend,Château Chaubinet,16.0
88,Bordeaux-style White Blend,Château Ferran,
88,Bordeaux-style Red Blend,Château Fongalan,15.0
88,Bordeaux-style White Blend,Château Mezain,13.0
88,Chardonnay,Clos du Val,28.0
88,Pinot Noir,Coeur de Terre,36.0
88,Rosé,Cramele Halewood,9.0
88,Chardonnay,Daniel Gehrs,24.0
88,Rhône-style White Blend,Davis Family,30.0
88,Merlot,Decoy,25.0
88,Nebbiolo,Reversanti,34.0
88,Pinot Noir,Roco,60.0
88,Pinot Noir,Saintsbury,54.0
88,Muscat,Silvan Ridge,15.0
88,Nebbiolo,Silvano Bolmida,56.0
88,Sauvignon Blanc,St. Supéry,20.0
88,Pinot Noir,Testarossa,61.0
88,Nebbiolo,Trediberri,46.0
88,Tempranillo,Val de Los Frailes,30.0
88,Tempranillo Blend,Yuntero,17.0
88,Chenin Blanc-Chardonnay,Musset-Roullier,
88,Cabernet Sauvignon-Merlot,Oso Libre,40.0
88,Red Blend,Oso Libre,39.0
88,Nebbiolo,Palladino,49.0
88,Sauvignon Blanc,Pierre Prieur et Fils,23.0
88,Pinot Grigio,Bargetto,16.0
88,Mourvèdre,Adelaida,32.0
88,Chardonnay,Alma Rosa,18.0
88,Cabernet Sauvignon,Lamadrid,15.0
92,Pinot Noir,Domaine de Bellene,92.0
92,Chardonnay,Domaine Vincent Girardin,94.0
92,Chardonnay,Failla,58.0
92,Rhône-style Red Blend,Gallica,50.0
92,Sparkling Blend,J Vineyards & Winery,48.0
92,Pinot Noir,Les Voleurs,32.0
92,Pinot Bianco,Nals Margreid,27.0
92,Alvarinho,Provam,35.0
92,Portuguese White,Quinta Nova de Nossa Senhora do Carmo,95.0
92,Pinot Noir,Ryan Cochrane,43.0
92,Garganega,Suavia,33.0
92,Sauvignon,Cantina Terlano,60.0
92,Malbec,Château du Cèdre,
92,Bordeaux-style Red Blend,Château Haut Selve,30.0
92,Cabernet Sauvignon,Communication Block,100.0
92,Syrah,Baker & Brain,35.0
91,Chardonnay,Domaine de Bellene,60.0
91,Bordeaux-style Red Blend,Domaine D'en Ségur,16.0
91,Chardonnay,Domaine Sangouard-Guyot,40.0
91,Pinot Noir,Elk Cove,60.0
91,Pinot Noir,Evening Land,100.0
91,Touriga Nacional,Herdade de São Miguel,18.0
91,Pinot Gris,Iris Vineyards,16.0
91,Syrah,Jack Creek,42.0
91,Gros and Petit Manseng,Lionel Osmin & Cie,
91,Pinot Noir,Brick & Mortar,20.0
91,Sauvignon,Colterenzio,25.0
91,Pinot Grigio,Colterenzio,23.0
91,Pinot Noir,Cuvaison,38.0
91,Zinfandel,De Loach,32.0
94,Syrah,Saviah,60.0
94,Riesling,Smith-Madrone,30.0
94,Red Blend,Speri,85.0
94,Riesling,Stony Hill,30.0
94,Pinot Noir,Testarossa,65.0
94,Chardonnay,Kumeu River,57.0
94,Pinot Noir,Bergström,90.0
94,Pinot Noir,Black Kite,85.0
94,Pinot Noir,Blue Farm,70.0
94,Pinot Noir,Domaine Serene,70.0
94,Pinot Noir,Gary Farrell,60.0
94,Garganega,Gini,38.0
94,Garganega,Gini,29.0
94,Cabernet Sauvignon,Parallel,155.0
94,Pinot Noir,Patricia Green Cellars,48.0
94,Cabernet Sauvignon,Sbragia,95.0
94,Sparkling Blend,Schramsberg,80.0
94,Pinot Noir,Trisaetum,49.0
94,Tannat-Cabernet,Vignobles Brumont,35.0
94,Syrah,Waters,50.0
94,Provence red blend,Domaine de la Bégude,44.0
94,Tempranillo Blend,Bodega Classica,68.0
94,Rosé,Château Vignelaure,20.0
94,Red Blend,Matarromera,
94,Cabernet Sauvignon,Pellet Estate,95.0
94,Provence red blend,Domaine de la Bégude,44.0
94,Cabernet Sauvignon,Pascual Toso,50.0
94,Rosé,Château d'Esclans,100.0
94,Malbec,Château Lagrézette,70.0
94,Chardonnay,Ponzi,63.0
91,Nebbiolo,Fratelli Alessandria,75.0
91,Riesling,Friedrich-Wilhelm-Gymnasium,23.0
91,Cabernet Sauvignon,Galerie,50.0
91,Albariño,Granbazán,22.0
91,Sauvignon Blanc,Grieve,45.0
91,Alicante Bouschet,Herdade do Rocim,130.0
91,Rhône-style White Blend,Jada Vineyard & Winery,38.0
91,Pinot Noir,La Crema,30.0
91,Syrah,Lawer,22.0
91,Nebbiolo,Le Strette,
91,Nebbiolo,Marchesi di Barolo,90.0
91,Cabernet Sauvignon,Michael Mondavi Family Estate,60.0
91,Nebbiolo,Oddero,115.0
91,Pinot Noir,Small Vines,55.0
91,Rhône-style Red Blend,Terras de Alter,30.0
91,Aragonês,Terras de Alter,14.0
91,Chardonnay,Testarossa,48.0
91,Chardonnay,Thomas George,40.0
91,Silvaner,Thörle,39.0
91,Nebbiolo,Vite Colte,60.0
91,Chardonnay,Wedell Cellars,50.0
91,Pinot Noir,Winderlea,48.0
91,Chardonnay,A.R. Lenoble ,54.0
91,Portuguese Red,Adega Cooperativa de Borba,42.0
91,Sparkling Blend,Argyle,50.0
91,Cabernet Sauvignon,Bazelet HaGolan,40.0
91,Chardonnay,Bernardus,40.0
91,Pinot Noir,Big Table Farm,42.0
91,Nebbiolo,Icardi,85.0
91,Tempranillo,Matarromera,32.0
90,Red Blend,Le Vigne,41.0
90,Ugni Blanc,Paix Sur Terre,27.0
90,Grüner Veltliner,Reustle,29.0
90,Pinot Noir,Domaine Bott-Geyl,33.0
90,Pinot Noir,Domaine Faiveley,70.0
90,Pinot Noir,Pike Road,19.0
90,Frappato,Planeta,22.0
90,Lemberger,Schnaitmann,25.0
90,Sylvaner,Domaine Ostertag,27.0
90,Chasselas,Domaine Schoffit,22.0
90,Alsace white blend,Domaine Zind-Humbrecht,30.0
90,Pinot Gris,Firesteed,15.0
90,Pinot Noir,The Eyrie Vineyards,45.0
90,Pinot Noir,Albert Bichot,80.0
90,White Blend,Baglio del Cristo di Campobello,
90,White Blend,Occhipinti,
90,Albariño,J. Scott Cellars,18.0
90,Greco,Villa Raiano,19.0
90,Riesling,Dr. H. Thanisch (Erben Thanisch),31.0
90,Cabernet Sauvignon,Hahn,15.0
90,Cabernet Sauvignon,Lyeth,15.0
90,Merlot,Napa Cellars,24.0
90,Red Blend,Paraduxx,80.0
90,Tempranillo,Quintana de Cue,35.0
90,Früburgunder,Winzergenossenschaft Mayschoss-Altenahr,40.0
90,Tempranillo,Casa del Valle,28.0
90,Cabernet Sauvignon,Freemark Abbey,50.0
90,Cabernet Sauvignon,Joleté,28.0
90,Rhône-style Red Blend,Prospect 772,36.0
90,Cabernet Sauvignon,Boatique,40.0
90,Chardonnay,Hearst Ranch,50.0
90,Cabernet Sauvignon,Hunt Cellars,75.0
90,Sangiovese,La Fiorita,60.0
90,Malbec,Merry Cellars,46.0
90,Bordeaux-style Red Blend,Mission Hill,70.0
90,Albariño,Palacio de Fefiñanes,26.0
90,Pinot Noir,Pascal & Nicolas Reverdy,
90,Sangiovese,Piccini,60.0
90,Sangiovese,Pietranera,75.0
90,White Blend,Purcari,32.0
90,Sangiovese,Renieri,95.0
90,Sangiovese,Podere Scopetone,60.0
90,Sangiovese,Sesta di Sopra,70.0
90,White Blend,Carlson,20.0
90,Rhône-style Red Blend,Château Pégau,27.0
90,Rhône-style Red Blend,Kirkland Signature,20.0
90,Cabernet Sauvignon,Medlock Ames,75.0
90,Sauvignon Blanc,Passaggio,28.0
90,Chardonnay,Patland,60.0
90,Chardonnay,Trig Point,22.0
90,White Blend,Valquejigoso,49.0
90,Kekfrankos,Weninger,35.0
90,Sangiovese,Tenuta di Sesta,90.0
90,Chardonnay,Terlato,30.0
90,Cabernet Sauvignon,The Calling,35.0
90,Rhône-style Red Blend,Westwood,38.0
90,Tempranillo,Fenestra,22.0
90,Sangiovese,Castello di Bossi,30.0
90,Red Blend,Cecchi,32.0
90,Sangiovese,Cafaggio,35.0
87,Cabernet Sauvignon,Dussek Family Cellars,36.0
87,Zinfandel,League of Rogues,30.0
87,Cabernet Franc,Serenity,20.0
87,Grenache,Sol Stone,32.0
87,Sparkling Blend,Sumarroca,18.0
87,Tempranillo,Trus,27.0
87,Sauvignon Blanc,Va Piano,20.0
87,Bordeaux-style Red Blend,Les Hauts de Tousquiron,
87,Chardonnay,McGrail,30.0
87,Cabernet Sauvignon,Michael David,20.0
87,Cabernet Sauvignon,3 Horse Ranch Vineyards,23.0
87,Rhône-style White Blend,Cairdeas,22.0
87,Sangiovese,Citille di Sopra,75.0
87,Sangiovese,Castello Romitorio,98.0
87,Bordeaux-style White Blend,Château de Portets,
87,Cabernet Sauvignon,Villa San Juliette,20.0
87,Chardonnay,Hat Ranch,22.0
87,White Blend,Huston,16.0
87,Vermentino,Fattoria di Magliano,28.0
87,Sherry,Bodegas Dios Baco S.L.,25.0
87,Red Blend,Ceralti,17.0
87,Riesling,Coiled,17.0
87,Tempranillo,Condado de Oriza,15.0
87,Sherry,Delgado Zuleta,16.0
87,Tempranillo Blend,Señorío de Sotillo,15.0
87,Tempranillo,Vale,38.0
87,Red Blend,Portal del Montsant,28.0
87,Sangiovese,La Collina dei Lecci,52.0
87,Sangiovese,Fattoria La Lecciaia,58.0
87,Sangiovese,Ferrero,60.0
86,Rosé,Colinas do Douro,15.0
86,White Blend,Latium di Morini,15.0
86,Chardonnay,Lawer,26.0
86,Syrah,Hawk Watch Winery,32.0
86,Portuguese Red,Falua,10.0
86,Sauvignon Blanc,Finca Las Moras,10.0
86,Moscato,The Naked Grape,18.0
86,Portuguese White,Ramos-Pinto,12.0
86,Rosé,Obelisco Estate,35.0
86,Aglianico,Orsi Family Vineyards,34.0
86,Malbec,Bota Box,23.0
86,Sauvignon Blanc,Bouchard Finlayson,20.0
86,Cabernet Sauvignon,Winc,31.0
86,Viognier,Cass,24.0
86,Merlot,Castle Rock,12.0
86,Pinot Noir,Angeline,18.0
86,White Blend,Domaine de Lamothe,10.0
86,Malbec,Don Miguel Gascón,15.0
86,Chardonnay,Eberle,24.0
86,Torrontés,Finca la Malena,14.0
86,Sauvignon Blanc,Firestone,14.0
86,Portuguese Red,Companhia das Quintas,15.0
86,Primitivo,DeLorimier,38.0
86,Touriga Nacional,Global Wines,13.0
86,Pinot Noir,Guenoc,12.0
86,Red Blend,Hawk Watch Winery,32.0
86,Semillon-Sauvignon Blanc,Lionel Osmin & Cie,15.0
86,Barbera,Orsi Family Vineyards,28.0
86,Portuguese Red,Quinta do Arrobe,
86,Portuguese Rosé,Quinta Nova de Nossa Senhora do Carmo,30.0
89,Pinot Noir,Foursight,49.0
89,Agiorgitiko,Boutari,17.0
89,Grenache-Syrah,Les Vignobles Foncalieu,11.0
89,Sangiovese,Marchesi de' Frescobaldi,43.0
89,Red Blend,Domaine Rotier,19.0
89,White Blend,Domaine Rotier,28.0
89,Riesling,Dr. Pauly Bergweiler,26.0
89,Prié Blanc,Cave du Vin Blanc de Morgex et de la Salle,
89,Chardonnay,Aubichon Cellars,35.0
89,Bordeaux-style Red Blend,Boëté,30.0
89,Cabernet Sauvignon,Castellare di Castellina,55.0
89,Negrette,Château Bouissel,
89,Pinot Noir,Anam Cara,46.0
89,Pinot Noir,Carden,50.0
89,Red Blend,Carhartt Vineyard,43.0
89,Syrah,Quinta da Romaneira,45.0
89,Syrah,Rideau,39.0
89,Red Blend,Tenuta di Trecciano,30.0
89,Cabernet Sauvignon,Terre del Marchesato,45.0
89,Red Blend,Vega Escal,23.0
89,Grenache-Syrah,M. Chapoutier,15.0
89,Zinfandel,Epoch Estate Wines,65.0
89,Red Blend,Estampa,19.0
